"Step","brisk-dragon-19 - loss","brisk-dragon-19 - loss__MIN","brisk-dragon-19 - loss__MAX","brisk-dragon-19 - accuracy","true-firebrand-17 - loss","true-firebrand-17 - loss__MIN","true-firebrand-17 - loss__MAX","true-firebrand-17 - accuracy","true-firebrand-17 - accuracy__MIN","true-firebrand-17 - accuracy__MAX","cool-plasma-16 - loss","cool-plasma-16 - loss__MIN","cool-plasma-16 - loss__MAX","cool-plasma-16 - accuracy","cool-plasma-16 - accuracy__MIN","cool-plasma-16 - accuracy__MAX","deep-resonance-10 - loss","deep-resonance-10 - loss__MIN","deep-resonance-10 - loss__MAX","deep-resonance-10 - accuracy","deep-resonance-10 - accuracy__MIN","deep-resonance-10 - accuracy__MAX"
"75000","","","","","1.943006157875061","1.943006157875061","1.943006157875061","","","","","","","","","","","","","","",""
"75001","","","","","","","","4.180334226049558","4.180334226049558","4.180334226049558","","","","","","","","","","","",""
"76000","","","","","1.9335826635360718","1.9335826635360718","1.9335826635360718","","","","","","","","","","","","","","",""
"77000","","","","","1.9206898212432861","1.9206898212432861","1.9206898212432861","","","","","","","","","","","","","","",""
"78000","","","","","1.9144854545593262","1.9144854545593262","1.9144854545593262","","","","","","","","","","","","","","",""
"79000","","","","","1.9081934690475464","1.9081934690475464","1.9081934690475464","","","","","","","","","","","","","","",""
"80000","","","","","1.9020042419433594","1.9020042419433594","1.9020042419433594","","","","","","","","","","","","","","",""
"80001","","","","","","","","4.222980537799874","4.222980537799874","4.222980537799874","","","","","","","","","","","",""
"81000","","","","","1.890270709991455","1.890270709991455","1.890270709991455","","","","","","","","","","","","","","",""
"82000","","","","","1.8854740858078003","1.8854740858078003","1.8854740858078003","","","","","","","","","","","","","","",""
"83000","","","","","1.8804881572723389","1.8804881572723389","1.8804881572723389","","","","","","","","","","","","","","",""
"84000","","","","","1.8760173320770264","1.8760173320770264","1.8760173320770264","","","","","","","","","","","","","","",""
"85000","","","","","1.8673045635223389","1.8673045635223389","1.8673045635223389","","","","","","","","","","","","","","",""
"85001","","","","","","","","4.263813365589488","4.263813365589488","4.263813365589488","","","","","","","","","","","",""
"86000","","","","","1.8625729084014893","1.8625729084014893","1.8625729084014893","","","","","","","","","","","","","","",""
"87000","","","","","1.8602769374847412","1.8602769374847412","1.8602769374847412","","","","","","","","","","","","","","",""
"88000","","","","","1.8561242818832397","1.8561242818832397","1.8561242818832397","","","","","","","","","","","","","","",""
"89000","","","","","1.8508424758911133","1.8508424758911133","1.8508424758911133","","","","","","","","","","","","","","",""
"90000","","","","","1.8475579023361206","1.8475579023361206","1.8475579023361206","","","","","","","","","","","","","","",""
"90001","","","","","","","","4.283879443852588","4.283879443852588","4.283879443852588","","","","","","","","","","","",""
"91000","","","","","1.844001293182373","1.844001293182373","1.844001293182373","","","","","","","","","","","","","","",""
"92000","","","","","1.8415535688400269","1.8415535688400269","1.8415535688400269","","","","","","","","","","","","","","",""
"93000","","","","","1.8396317958831787","1.8396317958831787","1.8396317958831787","","","","","","","","","","","","","","",""
"94000","","","","","1.8377705812454224","1.8377705812454224","1.8377705812454224","","","","","","","","","","","","","","",""
"95000","","","","","1.835875391960144","1.835875391960144","1.835875391960144","","","","","","","","","","","","","","",""
"95001","","","","","","","","4.291589602075442","4.291589602075442","4.291589602075442","","","","","","","","","","","",""
"96000","","","","","1.8356176614761353","1.8356176614761353","1.8356176614761353","","","","","","","","","","","","","","",""
"97000","","","","","1.8333027362823486","1.8333027362823486","1.8333027362823486","","","","","","","","","","","","","","",""
"98000","","","","","1.8336725234985352","1.8336725234985352","1.8336725234985352","","","","","","","","","","","","","","",""
"99000","","","","","1.8330496549606323","1.8330496549606323","1.8330496549606323","","","","","","","","","","","","","","",""
"100000","","","","","1.8327465057373047","1.8327465057373047","1.8327465057373047","","","","","","","","","","","","","","",""
